Filed name,English,Japanese (Google translation),Corrected
systemSettingTitle,System Setting,システム設定,システム設定
systemSettingNoCamera,No camera is available,カメラがありません,カメラが接続されいない可能性があります
,,,
productRecognizeTitle,Product Recognize,製品認識,認識
fruitClassificationTitle,Fruit Classification,果物の分類,果物の分類
productRecognizeRecognizing,Recognizing ...,認識しています ...,
productRecognizeInstructionFirst,Please click <font color=red>Option</font> button to select input device source,<font color=red>オプション</font> ボタンをクリックして、入力デバイス ソースを選択してください。,
productRecognizeInstructionSecond,Please specify the recognition area and click the <font color=red>Start</font> button to start the recognition,認識領域を指定し、<font color=red>開始</font> ボタンをクリックして認識を開始してください。,
productRecognizeInstructionThird,Please specify another recognition area or put a new document to recognize,別の認識領域を指定するか、認識する新しいドキュメントを入力してください,
productRecognizeStatusFailStatus,<font color=red>Processing is timeout</font>,<font color=red>処理がタイムアウトしました</font>,
productRecognizeStatusSucceedStatus,<font color=green>Processing is completed</font>,<font color=green>処理は成功しました</font>,
productRecognizeSaveSuccess,Saving Recognition Result Successfully,認識結果の保存に成功,
productRecognizeRecognizeButton,Recognize,認識開始,
,,,
ocrDemoDebugModel,DEBUG MODE,デバッグモード,
home,HOME,ホーム,
device,Device,デバイス,
title,AI-OCR Demo Application,デモアプリ,
date,Date,日付,消費期限
barcode,Barcode,バーコード,
notDetected,Not detected,検出されず,
front,Front,フロント,正面
back,Back,バック,裏面
logo,Logo,領域,
ubdLocation,UBD Location,UBDの場所,消費期限の場所
barcodeLocation,Barocde Location,バーコードの場所,
reset,Reset,リセット,
exit,Exit,出口,
next,Next,次,
and, and ,と,
or, or ,または,
productCode,Product Code,製品コード,商品型番
lotno,Lot No,,ロット番号
jancode,Jan Code,ジャンコード,JANコード
tagNo,Tag Number,荷札番号,
productionDate,Production Date,製造日,
quantity,Quantity,入数,
ITFCode,ITF Code,ITFコード,
confidenceSetting,Confidence Setting,自信設定,信頼度設定
invalidConfidenceSettingFloat,Invalid Confidence Setting<br>Must be decimal number between 0 and 1,信頼度設定無効です<br>0 から 1 の間の 10 進数でなければなりません,
invalidConfidenceSettingLogic,Invalid Confidence Setting<br>Medium >= High,信頼度設定無効です<br>中くらい<font color=red>>=</font>高い,
low,Low,低い,低,
medium,Medium,中くらい,中,
high,High,高い,高,
lessThan,Less than above,上記未満,
orMore,Or more,以上,
recognitionMode,Recognition Mode,認識モード,
manual,Manual,マニュアル,
automatic,Automatic,自動,
export,Send,送信,
ftpConfig,FTP Configuration,FTP 設定,
test,Test Connection,テスト接続,
,,,
option,Option,オプション,
start,Start,開始,
clear,Clear,クリア,
keep,Keep,保存,
inputSource,Input Source,入力ソース,
frameOrientation,Frame Orientation,フレームの向き,
portrait,Portrait,肖像画,
landscape,Landscape,風景,
fullCharacterRecognition,Full Character Recognition,全文字認識,
specificCharacterRecognition,Specific Character Recognition,特定文字認識,
tableRecognition,Table Recognition,表認識,
inputDeviceSetting,Input Device Setting,入力設定,
specificTextSetting,Specific Text Setting,特定文字設定,
tableSetting,Table Setting,表設定,
recogTime,Recognition Time:,認識時間:,
camera,Camera,カメラ,
file,File,ファイル,
name,Name,名称,
format,Format,フォーマット,
method,Method,認識方法,
productNo,Product Number,製品番号,
expDate,Expiration Date,消費期限,
autoRecog,Auto,自動,
manuRecog,Manu,手動,
excluded,Excluded,対象外,
setting,Setting,設定,
cancel,Cancel,キャンセル,
reset,Reset,リセット,
cameraSetting,Camera Setting,カメラ設定,
simulatorSetting,Simulator Setting,シミュレータ設定,
focus,Focus,フォーカス,
exposure,Exposure,露出,
whiteBalance,White-Balance,ホワイトバランス,
regionMessageDialog,Do you want to deselect the recognition area?,認識領域の選択を解除しますか ?,
textThreshold,Text Threshold,テキスト閾値,
lowText,Low Text,低テキスト,
linkThreshold,Link Threshold,リンク閾値,
language,Language,言語,
canvasSize,Canvas Size,カンバスサイズ,
paragraph,Paragraph,段落,
recogSetting,Recognition Settings,認識設定,
confSetting,Confidence Settings,信頼度設定,
minTextSize,Minimum Text Size,最小テキスト サイズ,
absoluteFocus,Absolute Focus Value:,フォーカス絶対値:,
absoluteExposure,Absolute Exposure Value:,露出絶対値:,
wbTemperature,WB Temperature Value:,WB温度値:,
update,Update,更新,
inactive,Inactive,非活性,
cameraName,Camera Name,カメラ名,
teliGain,Gain,ゲイン,
teliGainValue,Gain Value,ゲイン値,
teliExposure,Exposure,曝露,
teliExposureTime,Exposure Time,暴露時間値,
teliWhiteBalance,WB/AWB,WB/AWB,
teliBlackLevel,Black Level Value,黒レベル値,
teliGamma,Gamma,ガンマ,
teliGammaValue,Gamma Value,ガンマ値,
,,,
sysSettingChangedMsg,The setting parameters have been already changed,設定パラメータはすでに変更されています,
sysSettingUnchangedMsg,The setting parameters have been reset to the old values,設定パラメータが古い値にリセットされました,
sysSettingChangeParamTitle,Change Parameters,パラメータの変更,
sysSettingChangeParamMsg,Are you sure you want to update the parameters?,パラメータを更新してもよろしいですか?,
sysSettingUnchangeParamTitle,Revert Parameters,パラメータを元に戻す,
sysSettingUnchangeParamMsg,Are you sure you want to revert to the previous values?,前の値に戻してもよろしいですか?,
sysSettingInstruction,Drag the slider or click the slider and press [←] [→] to change the setting value.,"フォーカスを近くに合わせるには、キーボードの[→]キーまたは画面の[＋]ボタンを押します。
フォーカスを遠くに合わせるには、[←]キーまたは[ － ]ボタンを押します。",スライダーをドラッグするか、スライダーをクリックして<font color=red>[←]</font>、<font color=red>[→]</font>、または、<font color=red>マウスホイール</font>をスクロールして設定を変更します。